tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
160,1/12/2016 15:28,1/12/2016 15:30,526,E 33 St & 5 Ave,40.74765947,-73.98490707,472,E 32 St & Park Ave,40.7457121,-73.98194829,22054,Subscriber,1984,1
890,8/27/2015 13:08,8/27/2015 13:23,3108,Nassau Ave & Russell St,40.72557,-73.94434,3112,Milton St & Franklin St,40.72906,-73.95779,14816,Subscriber,1968,1
396,12/11/2017 13:31,12/11/2017 13:37,3224,W 13 St & Hudson St,40.73997354,-74.00513873,334,W 20 St & 7 Ave,40.74238787,-73.99726235,32223,Subscriber,,0
221,8/28/2016 20:50,8/28/2016 20:53,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,22087,Subscriber,1987,2
427,10/8/2015 5:37,10/8/2015 5:44,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,499,Broadway & W 60 St,40.76915505,-73.98191841,20300,Customer,,0
772,7/22/2014 14:32,7/22/2014 14:45,453,W 22 St & 8 Ave,40.74475148,-73.99915362,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,17230,Subscriber,1941,1
618,9/19/2017 20:56,9/19/2017 21:06,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,433,E 13 St & Avenue A,40.72955361,-73.98057249,28658,Subscriber,1986,1
241,13:09.0,17:10.5,340,Madison St & Clinton St,40.71269042,-73.98776323,349,Rivington St & Ridge St,40.71850211,-73.98329859,17170,Subscriber,1994,2
467,7/24/2017 17:50,7/24/2017 17:57,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,347,Greenwich St & W Houston St,40.728846,-74.008591,21328,Subscriber,1981,1
695,29:51.7,41:27.5,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,2010,Grand St & Greene St,40.72165481,-74.00234737,32866,Subscriber,1971,1
247,3/11/2015 8:26,3/11/2015 8:30,479,9 Ave & W 45 St,40.76019252,-73.9912551,493,W 45 St & 6 Ave,40.7568001,-73.98291153,14712,Subscriber,1971,1
238,7/20/2017 8:17,7/20/2017 8:21,358,Christopher St & Greenwich St,40.73291553,-74.00711384,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,18418,Subscriber,1973,1
959,6/24/2017 12:43,6/24/2017 12:59,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,15428,Subscriber,1989,1
600,10/13/2015 16:37,10/13/2015 16:47,428,E 3 St & 1 Ave,40.72467721,-73.98783413,402,Broadway & E 22 St,40.7403432,-73.98955109,23403,Subscriber,1982,1
672,56:03.7,07:16.5,494,W 26 St & 8 Ave,40.74734825,-73.99723551,229,Great Jones St,40.72743423,-73.99379025,35301,Subscriber,1970,1
1523,1/21/2015 14:41,1/21/2015 15:07,233,Joralemon St & Adams St,40.69246277,-73.98963911,431,Hanover Pl & Livingston St,40.68864636,-73.98263429,15005,Subscriber,1969,2
418,5/5/2015 8:15,5/5/2015 8:22,331,Pike St & Monroe St,40.71173107,-73.99193043,351,Front St & Maiden Ln,40.70530954,-74.00612572,15183,Subscriber,1977,2
579,4/9/2017 12:47,4/9/2017 12:56,144,Nassau St & Navy St,40.69839895,-73.98068914,430,York St & Jay St,40.7014851,-73.98656928,28758,Customer,,0
