UPCMasterId,UPC,UPCName,ASINMasterId,ASIN,ASIN_Name
10437,2840059946,Lays Smoked Gouda Chive (7.75 Oz),27670,B01C7U5ZZU,Fl Sg Swap Flv 1 7.75 Oz
10567,2840059969,LAYS FLAVOR SWAP FLAVOR HA,27556,B01C7UOHA4,Fl Hab Swap Flv 4 7.75 Oz
87606,28400600019,"Munchies Sandwich Crackers, Peanut Butter and Chocolate,11.36 oz, 8 ct",82615,B01F9HTC4S,"Munchies Sandwich Crackers, Peanut Butter and Chocolate,11.36 oz, 8 ct"
60903,28400600934,Simply Tostitos Blkbn Chips Sslt 7.5Oz,27039,B01CTRZ5G0,"Simply Tostitos Black Bean Chips, 7.5 Ounce"
60903,28400600934,Simply Tostitos Blkbn Chips Sslt 7.5Oz,27015,B01D4GB7QW,"Simply Tostitos Sea Salted Black Bean Chips, 7.5 Ounce"
87607,28400601290,"Matador Teriyaki Jerky, 3 Ounce",57318,B01N6O2YYA,"Matador Teriyaki Jerky, 3 Ounce"
87607,28400601290,"Matador Teriyaki Jerky, 3 Ounce",56671,B01MXZW10A,"Matador Meat Snacks, Teriyaki, 3 Ounce"
87609,28400601320,"Matador Original Jerky, 3 Ounce",57931,B01MR3AXYT,"Matador Original Jerky, 3 Ounce"
87610,28400611787,"Lay's Kettle Cooked Original Potato Chips, 1.375 Ounce (Pack of 64)",27058,B01DNOB7XS,"Lay's Kettle Cooked Original Potato Chips, 1.375 Ounce (Pack of 64)"
87611,28400612609,"Matador Snack Sticks, Original, 15 Count",57938,B01N7PGBCP,"Matador Original Jerky Sticks, 15 Count"
87611,28400612609,"Matador Snack Sticks, Original, 15 Count",86755,B01M65N7B7,"Matador Snack Sticks, Original, 15 Count"
87615,28400613231,"Matador Mild Jerky Sticks, 15 Count",57923,B01MR3AXBY,"Matador Mild Jerky Sticks, 15 Count"
87615,28400613231,"Matador Mild Jerky Sticks, 15 Count",86756,B01M8JXJ5K,"Matador Snack Sticks, Mild, 15 Count"
64260,28400614443,"Tostitos Tortilla Chips, Hint of Jalapeno, 13 Oz",66628,B06ZZGFCB6,"Tostitos Hint of Jalape̱o Flavored Restaurant Style Tortilla Chips, 13 Ounce"
64260,28400614443,"Tostitos Tortilla Chips, Hint of Jalapeno, 13 Oz",57962,B06Y1ZJCDM,"Tostitos Hint of Jalape̱o Flavored Restaurant Style Tortilla Chips, 13 Ounce"
61985,28400624572,Lays Kettle Global Flavor Swap Indian Tikka Masala,115490,B07CT56LB8,"Munchies Snack Mix, Cheese Fix Flavored, 0.875 Ounce (Pack of 104)"
64499,28400629300,"Lay's Kettle Cooked Potato Chips,Single-Serve Variety Pack, 0.85 Oz, 12 Ct",57432,B06XFSFD75,"Lay's Kettle Cooked Potato Chips, 12 Count"
87619,28400631426,"Lay's Kettle Cooked 40% Less Fat Original Potato Chips, 13.5 Ounce",57949,B06Y3ZDKZB,"Lay's Kettle Cooked 40% Less Fat Original Potato Chips, 13.5 Ounce"
87619,28400631426,"Lay's Kettle Cooked 40% Less Fat Original Potato Chips, 13.5 Ounce",57965,B06XZTW3CM,"Lay's Kettle Cooked 40% Less Fat Original Potato Chips, 13.5 Ounce"
64527,28400631600,"Frito-Lay Favorites Mix Variety Pack, 44 Count",27948,B01FE8LWXG,"Frito-Lay Favorites Mix Variety Pack, 44 Count"
64500,28400632188,"Lay's Kettle Cooked Potato Chip, Jalapeno, 13.5 Oz",57951,B06WD52RVM,"Lay's Kettle Cooked Jalapeno Flavored Potato Chips, 13.5 Ounce"
64500,28400632188,"Lay's Kettle Cooked Potato Chip, Jalapeno, 13.5 Oz",57946,B06Y44CJJ1,"Lay's Kettle Cooked Jalapeno Flavored Potato Chips, 13.5 Ounce"
48861,2840063247,"Nut Harvest, Mixed Nuts, 16 Count",27987,B01FCVTX2C,"Nut Harvest Deluxe Mixed Nuts,2.75 oz,16 Count"
48850,2840063249,"Nut Harvest, Cashews, 16 Count",27988,B01FCVU1ZK,"Nut Harvest Sea Salted Whole Cashews, 2.5 oz, 16 Count"
