UPC,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld
1200015026,Beverages,Pepsi,PBC,Corporate,True,True
1200000813,Beverages,Pepsi,PBC,Corporate,True,True
1200013060,Beverages,Pepsi,PBC,Corporate,True,True
1200003066,Beverages,Pepsi,PBC,Corporate,True,True
1200003065,Beverages,Pepsi,PBC,Corporate,True,True
1200013050,Beverages,Pepsi,PBC,Corporate,True,True
1200013062,Beverages,Pepsi,PBC,Corporate,True,True
1200080999,Beverages,Pepsi,PBC,Corporate,True,True
1200081019,Beverages,Pepsi,PBC,Corporate,True,True
1200000311,Beverages,Pepsi,PBC,Corporate,True,True
1200081017,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000526,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200000341,Beverages,Diet Pepsi,PBC,Corporate,True,True
1200013055,Beverages,Pepsi,PBC,Corporate,True,True
1200013049,Beverages,Pepsi,PBC,Corporate,True,True
4112901089,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901004,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901514,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112903090,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112905161,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901015,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112902003,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901005,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901027,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112902060,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901081,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901006,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112902068,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112902045,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901026,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112903075,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112902036,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901022,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112902048,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112902067,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901025,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901024,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901023,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901003,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901002,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901001,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901042,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901020,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901021,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112906061,Quaker,Pasta Roni,Quaker,Corporate,False,False
4112901010,Quaker,Pasta Roni,Quaker,Corporate,True,False
5200051233,Beverages,Propel,Gatorade,Corporate,True,True
5200050633,Beverages,Propel,Gatorade,Corporate,True,True
5200000338,Beverages,Propel,Gatorade,Corporate,True,True
5200013468,Beverages,Propel,Gatorade,Corporate,True,True
5200000095,Beverages,Propel,Gatorade,Corporate,True,True
5200013484,Beverages,Propel,Gatorade,Corporate,True,True
