,0,1,2,3,4,5
0,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film,Rank Series Total worldwide box office No. of films Average of films Highest-grossing film
1,Rank,Series,Total worldwide box office,No. of films,Average of films,Highest-grossing film
61,2,Cars (2006),"$462,216,280",,,
62,3,Cars 3 (2017),"$383,930,656",,,
63,"Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640","Planes series $390,645,352 2 $195,322,676 Planes ($239,258,712) 1 Planes (2013) $239,258,712 2 Fire & Rescue (2014) $151,386,640"
64,,Planes series,"$390,645,352",2,"$195,322,676","Planes ($239,258,712)"
65,1,Planes (2013),"$239,258,712",,,
66,2,Fire & Rescue (2014),"$151,386,640",,,
67,"10 How to Train Your Dragon $1,625,239,878 3 $541,746,626 How to Train Your Dragon 2 ($621,537,519) 1 How to Train Your Dragon 2 (2014) $621,537,519 2 The Hidden World (2019) $508,823,600 3 How to Train Your Dragon (2010) $494,878,759","10 How to Train Your Dragon $1,625,239,878 3 $541,746,626 How to Train Your Dragon 2 ($621,537,519) 1 How to Train Your Dragon 2 (2014) $621,537,519 2 The Hidden World (2019) $508,823,600 3 How to Train Your Dragon (2010) $494,878,759","10 How to Train Your Dragon $1,625,239,878 3 $541,746,626 How to Train Your Dragon 2 ($621,537,519) 1 How to Train Your Dragon 2 (2014) $621,537,519 2 The Hidden World (2019) $508,823,600 3 How to Train Your Dragon (2010) $494,878,759","10 How to Train Your Dragon $1,625,239,878 3 $541,746,626 How to Train Your Dragon 2 ($621,537,519) 1 How to Train Your Dragon 2 (2014) $621,537,519 2 The Hidden World (2019) $508,823,600 3 How to Train Your Dragon (2010) $494,878,759","10 How to Train Your Dragon $1,625,239,878 3 $541,746,626 How to Train Your Dragon 2 ($621,537,519) 1 How to Train Your Dragon 2 (2014) $621,537,519 2 The Hidden World (2019) $508,823,600 3 How to Train Your Dragon (2010) $494,878,759","10 How to Train Your Dragon $1,625,239,878 3 $541,746,626 How to Train Your Dragon 2 ($621,537,519) 1 How to Train Your Dragon 2 (2014) $621,537,519 2 The Hidden World (2019) $508,823,600 3 How to Train Your Dragon (2010) $494,878,759"
68,10,How to Train Your Dragon,"$1,625,239,878",3,"$541,746,626","How to Train Your Dragon 2 ($621,537,519)"
69,1,How to Train Your Dragon 2 (2014),"$621,537,519",,,
70,2,The Hidden World (2019),"$508,823,600",,,
71,3,How to Train Your Dragon (2010),"$494,878,759",,,
