UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
1168,89470001034,Chob Grk 0 Bld Ornge,NULL,CHBN BLOOD ORANG GRK YGRT 5.3 OZ,Chob Grk 0 Bld Ornge,Chob Grk 0 Bld Ornge,0,0,1,0,FirstIRIMtch,29:46.5
1171,89470001033,Chob Grk 2 Mango,NULL,CHBN FOB MANGO GRK YOGURT 5.3 OZ,Chob Grk 2 Mango,Chob Grk 2 Mango,0,0,1,0,FirstIRIMtch,29:46.5
3417,3010010521,Kblr-100 Cal Var.12Pk,NULL,ALL KEEBLER PRODUCTS ASSORTED ASSORTED ASSORTED 1 CT 8.88 OZ ,Kblr-100 Cal Var.12Pk,Kblr-100 Cal Var.12Pk,0,0,1,0,FirstIRIMtch,29:46.5
3420,3010053458,Keebler Right Bites 100 Cal Variety Packs (Fudge Shoppe/Cheez-It)-12 pk 8.8 OZ BOX,NULL,Keebler Right Bites 100 Cal Variety Packs (Fudge Shoppe/Cheez-It)-12 pk 8.8 OZ BOX,Keebler Right Bites 100 Cal Variety Packs (Fudge Shoppe/Cheez-It)-12 pk 8.8 OZ BOX,Keebler Right Bites 100 Cal Variety Packs (Fudge Shoppe/Cheez-It)-12 pk 8.8 OZ BOX,1,1,0,0,AdminMtch421,29:46.5
3421,3010053969,Keebler Right Bites 100 Calorie Fudge Stripes Cookies Dark Choc Mini-6 pk 4.44 OZ BOX,NULL,KEEBLER RIGHT BITES FUDGE STRIPES FLAVORED FUDGE STRIPED DARK CHOCOLATE 1 CT 4.44 OZ ,Keebler Right Bites 100 Calorie Fudge Stripes Cookies Dark Choc Mini-6 pk 4.44 OZ BOX,Keebler Right Bites 100 Calorie Fudge Stripes Cookies Dark Choc Mini-6 pk 4.44 OZ BOX,0,0,1,0,FirstIRIMtch,29:46.5
2157,2840000288,Frito Lay Classic Mx 20Ct (20 Oz),To Go,FRITO LAY CLASSIC MX 18CT 18 OZ,Fritolay 2Go Classic Mix Variety Pack (20 - 1Oz) 20 Ounce Plastic Bag,Fritolay 2Go Classic Mix Variety Pack (20 - 1Oz) 20 Ounce Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
2159,2840004404,FRITO LAY CLASSIC MIX VARIETY PACK,To Go,FRITO LAY CLASSIC MX 50CT 50 OZ,Frito Lays Variety Pack Classic Mix (50 - 1 Oz) 50 Ounce 50 Pack Bag,Frito Lays Variety Pack Classic Mix (50 - 1 Oz) 50 Ounce 50 Pack Bag,0,0,1,0,FirstIRIMtch,29:46.5
2163,2840057605,Frito Lay Fun Mix 32Ct (30.37 Oz),SALTY SNACKS,FRITO LAY FUN MIX 28CT 26.5 OZ,"FritoLay Fun Times Party Mix (3-.625oz, 4-.875oz, 25-1oz) 30.375 oz 32 Pk Box","FritoLay Fun Times Party Mix (3-.625oz, 4-.875oz, 25-1oz) 30.375 Ounce 32 Pack Box",0,0,1,0,FirstIRIMtch,29:46.5
2166,2840057628,Frito Lay Party Mix 32Ct (31 Oz),To Go,FRITO LAY PARTY MIX 28CT 27.25 OZ,"Fritolay Party Mix Variety Pack (4-.75Oz, 28-1Oz) 31.0 Ounce Bag","Fritolay Party Mix Variety Pack (4-.75 Ounce, 28-1 Ounce) 31.0 Ounce Plastic Bags",0,0,1,0,FirstIRIMtch,29:46.5
37,71941050006,5-Hour Energy Original Berry Shot - 6 pk 1.93 OZ BTL,NULL,5 HOUR ENERGY ENERGY SHOT BERRY 4 CALORIES 6 CT 11.58 OZ ,5-Hour Energy Original Berry Shot - 6 pk 1.93 OZ BTL,5-Hour Energy Original Berry Shot - 6 pk 1.93 OZ BTL,0,0,1,0,ElvnDgtIRIMtch,29:46.5
3422,3010024866,Kbl-Right Bite Chpdlx,NULL,KEEBLER CHIPS DELUXE RIGHT BITES CHOCOLATE CHIP CHOCOLATE CHIP 1 CT 4.44 OZ ,Kbl-Right Bite Chpdlx,Kbl-Right Bite Chpdlx,0,0,1,0,FirstIRIMtch,29:46.5
3423,3010038387,Kblr-100 Cal Rb Fudge,NULL,KEEBLER FUDGE SHOPPE RIGHT BITES GRAHAM FUDGE BOTTOM 1 CT 4.24 OZ ,Kblr-100 Cal Rb Fudge,Kblr-100 Cal Rb Fudge,0,0,1,0,FirstIRIMtch,29:46.5
3424,3010048323,Keebler Right Bites 100 Calorie Packs Fudge Dipped Pretzels - 6 pk 4.44 OZ BOX,NULL,KEEBLER FUDGE SHOPPE RIGHT BITES PRETZEL FUDGE PRETZEL BAG IN BOX 4.44 OZ ,Keebler Right Bites 100 Calorie Packs Fudge Dipped Pretzels - 6 pk 4.44 OZ BOX,Keebler Right Bites 100 Calorie Packs Fudge Dipped Pretzels - 6 pk 4.44 OZ BOX,0,0,1,0,FirstIRIMtch,29:46.5
36,71941050002,5-Hr Enrgy Berry 2Pk,NULL,5 HOUR ENERGY ENERGY SHOT BERRY 4 CALORIES 2 CT 3.86 OZ ,5-Hr Enrgy Berry 2Pk,5-Hr Enrgy Berry 2Pk,0,0,1,0,ElvnDgtIRIMtch,29:46.5
39,71941020001,5-Hour Energy Original Grape Shot 1.93 OZ BTL,NULL,5 HOUR ENERGY ENERGY SHOT GRAPE 4 CALORIES 1 CT 1.93 OZ ,5-Hour Energy Original Grape Shot 1.93 OZ BTL,5-Hour Energy Original Grape Shot 1.93 OZ BTL,0,0,1,0,ElvnDgtIRIMtch,29:46.5
40,71941030002,5-Hour Energy Original Orange Shot - 2 pk 2 OZ CAN,NULL,5 HOUR ENERGY ENERGY SHOT ORANGE LOW CALORIE 2 CT 3.86 OZ ,5-Hour Energy Original Orange Shot - 2 pk 2 OZ CAN,5-Hour Energy Original Orange Shot - 2 pk 2 OZ CAN,0,0,1,0,ElvnDgtIRIMtch,29:46.5
49,7800000531,Cherry 7-Up 2 Ltr,NULL,7UP CHERRY 2 LT,Cherry 7-Up 2 Ltr,Cherry 7-Up 2 Ltr,0,0,1,0,FirstIRIMtch,29:46.5
42,7800001080,7-Up - 12 pk 12 OZ CAN,NULL,7UP 12PK 12/12 FO,7-Up - 12 pk 12 OZ CAN,7-Up - 12 pk 12 OZ CAN,0,0,1,0,FirstIRIMtch,29:46.5
43,7800001180,7 Up Fridge Pack,NULL,7UP 12PK 12/12 FO,7 Up Fridge Pack,7 Up Fridge Pack,0,0,1,0,FirstIRIMtch,29:46.5
45,7800001219,Lemon Lime 7Up,NULL,7UP 6PK 6/16.9 FO,Lemon Lime 7Up,Lemon Lime 7Up,0,0,1,0,FirstIRIMtch,29:46.5
47,7800000035,Pepsi Cola 10 Fluid Ounce Glass Bottle,NULL,7UP 6PK 6/7.5 FO,Pepsi Cola 10 Fluid Ounce Glass Bottle,Pepsi Cola 10 Fluid Ounce Glass Bottle,0,0,1,0,FirstIRIMtch,29:46.5
53,7800001181,Diet 7 Up Fridge Pack,NULL,DIET 7UP 12PK 12/12 FO,Diet 7 Up Fridge Pack,Diet 7 Up Fridge Pack,0,0,1,0,FirstIRIMtch,29:46.5
58,7800001083,Seven Up 10,NULL,7UP TEN 12PK 12/12 FO,Seven Up 10,Seven Up 10,0,0,1,0,FirstIRIMtch,29:46.5
62,7800005446,Aw Cream Soda 2Ltr,NULL,A&W CREAM SODA 2 LT,Aw Cream Soda 2Ltr,Aw Cream Soda 2Ltr,0,0,1,0,FirstIRIMtch,29:46.5
2169,2840015506,Fritos Corn Chips Barbecue 9.75 OZ BAG,NULL,FRITOS CORN CHIP BARBECUE BAG 10.25 OZ - 0028400155061,Sabritas Fiesta Mix 2z/24,Sabritas Fiesta Mix 2z/24,0,0,1,0,FirstIRIMtch,29:46.5
2170,2840024054,FRITOS CORN CHIPS BAR-B-Q FLAVORED,NULL,FRITOS CORN CHIP BARBECUE BAG 9.75 OZ ,Fritos Bar-B-Q Flavored Corn Chips 9.75 Ounce Plastic Bag,Fritos Bar-B-Q Flavored Corn Chips 9.75 Ounce Plastic Bag,0,0,1,0,FirstIRIMtch,29:46.5
