59469,Frito Lay Flavor Mix Variety Pack 20Ct,NULL,NULL,00028400002899,Frito-Lay Flavor Mix Do Us A Flavor Variety Pack Chips (20-1 Ounce) 20 Ounce 20 Pack Plastic Bag,B000UESJKO,112,"Frito-Lay Chips and Snacks Flavor Mix Variety Pack, 20 Count",59469,Frito Lay Flavor Mix Variety Pack 20Ct
59469,Frito Lay Flavor Mix Variety Pack 20Ct,NULL,NULL,00028400002899,Frito-Lay Flavor Mix Do Us A Flavor Variety Pack Chips (20-1 Ounce) 20 Ounce 20 Pack Plastic Bag,B00ID0DUYM,857,"Frito-Lay Flavor Mix Purple Variety Pack, 20 Count",59469,Frito Lay Flavor Mix Variety Pack 20Ct
60682,"Fritos Corn Chips - Original, 1 Ounce, 50 Count",NULL,NULL,00028400043915,Fritos The Original Corn Chips (50-1 Oz) 50 Ounce Plastic Bags in Box,B00O6KGPAO,2220,"Fritos Original Corn Chips, 1 Ounce (Pack of 50)",60682,"Fritos Corn Chips - Original, 1 Ounce, 50 Count"
60689,"Frito-Lay Baked & Popped Chips, Variety Pack, 37.25 Oz, 30 Ct",NULL,NULL,00028400249645,Variety Pack 30 Count 37.25Z/2,B00IL33F0K,2032,"Frito-lay Baked and Popped Variety Pack Chips, 37.25 Ounce",60689,"Frito-Lay Baked & Popped Chips, Variety Pack, 37.25 Oz, 30 Ct"
61938,"Fritos Flavor Twists Honey Bbq Flavored Corn Snacks, 9.75 Oz",NULL,NULL,00028400240437,Fritos Flavor Twists Honey Bbq Corn Snacks  9.75 Ounce Plastic Bag,B00J0KPFJC,445,"Fritos Honey BBQ Twists, 9.75 Ounce",61938,"Fritos Flavor Twists Honey Bbq Flavored Corn Snacks, 9.75 Oz"
61973,"Fritos Scoops! Corn Chips, 9.75 Oz.",NULL,NULL,00028400240628,Fritos Scoops Corn Chips 9.75 Ounce Plastic Bag,B00R1J38T8,2275,"Fritos Corn Chips, Scoops, 9.75 Ounce",61973,"Fritos Scoops! Corn Chips, 9.75 Oz."
61973,"Fritos Scoops! Corn Chips, 9.75 Oz.",NULL,NULL,00028400240628,Fritos Scoops Corn Chips 9.75 Ounce Plastic Bag,B00J0KSBFC,448,"Fritos Scoops, 9.75 Ounce",61973,"Fritos Scoops! Corn Chips, 9.75 Oz."
61976,"Fritos Mild Cheddar Flavored Cheese Dip, 9 Oz",NULL,NULL,00028400000222,Fritos Mild Cheddar Cheese Dip 9 Ounce Aluminum Canister,B06ZZQY53X,66631,"Fritos Mild Cheddar Cheese Dip, 9 Ounce",61976,"Fritos Mild Cheddar Flavored Cheese Dip, 9 Oz"
61976,"Fritos Mild Cheddar Flavored Cheese Dip, 9 Oz",NULL,NULL,00028400000222,Fritos Mild Cheddar Cheese Dip 9 Ounce Aluminum Canister,B0015GS122,56177,"Fritos Mild Cheddar Cheese Dip, 9 Ounce",61976,"Fritos Mild Cheddar Flavored Cheese Dip, 9 Oz"
61994,"Frito-Lay Bold Chip Mix, Variety Pack, 1.0 Oz., 20 Count",NULL,NULL,00028400002905,"Fritolay Bold Mix Variety Pack (4 - .75Oz, 16 - 1Oz) 19 Ounce 20Pk Plastic Bag",B018G0YKN8,2816,"Frito-Lay Bold Mix Variety Pack, 20 Ounce",61994,"Frito-Lay Bold Chip Mix, Variety Pack, 1.0 Oz., 20 Count"
62122,"Frito-Lay Fiery Chip Mix Variety Pack, 20 Count, 19.5 Oz",NULL,NULL,00028400440899,"FritoLay ToGo Fiery Mix (4-0.75 Oz, 12-1 Oz, 4-1.125 Oz) 19.5 Ounce 20 Count Plastic Bag",B0166R052I,2656,"Frito-Lay Fiery Mix Variety Pack, 20 Count",62122,"Frito-Lay Fiery Chip Mix Variety Pack, 20 Count, 19.5 Oz"
62246,"Fritos Original Corn Chips, 9.25 Oz",NULL,NULL,00028400589291,Fritos Original Corn Chips 9.25 Ounce Plastic Bag,B019KE37WO,2869,"Fritos Original Corn Chips, 9.25 Ounce",62246,"Fritos Original Corn Chips, 9.25 Oz"
63901,Frito-Lay Select Mix,NULL,NULL,00028400567329,Variety Pack 43.875z,B078HYB5XX,102352,"Frito-Lay Purely Delicious Mix, 18 Count",63901,Frito-Lay Select Mix
64244,"Frito-Lay Premiere Mix Chips & Snacks Variety Pack, 30 Ct",NULL,NULL,00028400209687,"Frito Lay Premiere Mix (30: 6-1.25 oz, 6-1.37 oz, 13-1.5 oz, 5-2 oz) 45.25 Ounce 30 Bags Pack ",B00OOVTEX0,1067,"Frito-Lay Premium Variety Pack, 45.25 Ounce",64244,"Frito-Lay Premiere Mix Chips & Snacks Variety Pack, 30 Ct"
64248,"Fritos Corn Chips, 2 Oz Bag",NULL,NULL,00028400443555,64/2.00OZ  LSS FRITOS REGULAR,B000MIDVAG,573,"Fritos Original Corn Chips, 2 Ounce (Pack of 64)",64248,"Fritos Corn Chips, 2 Oz Bag"
64254,"Fritos Twists Honey BBQ Corn Snacks, 9.25 Oz  ",NULL,NULL,00028400589277,Fritos Twists Honey BBQ Corn Snacks 9.25 Ounce Plastic Bag,B019KE35PI,2863,"Fritos Twists Honey BBQ Flavored Corn Chips, 9.25 Ounce",64254,"Fritos Twists Honey BBQ Corn Snacks, 9.25 Oz  "
64255,"Fritos Scoops Corn Chips, 9.25 Oz  ",NULL,NULL,00028400589321,Fritos Scoops Corn Chips 9.25 Ounce Plastic Bag,B019KE37G0,2867,"Fritos Scoops! Corn Chips, 9.25 Ounce",64255,"Fritos Scoops Corn Chips, 9.25 Oz  "
64255,"Fritos Scoops Corn Chips, 9.25 Oz  ",NULL,NULL,00028400589321,Fritos Scoops Corn Chips 9.25 Ounce Plastic Bag,B01EYKOOPS,57926,"Fritos Scoops Corn Chips, 9.25 Ounce",64255,"Fritos Scoops Corn Chips, 9.25 Oz  "
64256,"Fritos Corn Chips, Classic Ranch, 9.25 Oz",NULL,NULL,00028400594639,Fritos Classic Ranch Corn Chips 9.25 Ounce Plastic Bag,B01D4G9PPM,27029,"Fritos Ranch Flavored Corn Chips, 9.25 Ounce",64256,"Fritos Corn Chips, Classic Ranch, 9.25 Oz"
64256,"Fritos Corn Chips, Classic Ranch, 9.25 Oz",NULL,NULL,00028400594639,Fritos Classic Ranch Corn Chips 9.25 Ounce Plastic Bag,B01CTRZ3LC,2914,"Fritos Flavored Corn Chips, Ranch, 9.25 Ounce",64256,"Fritos Corn Chips, Classic Ranch, 9.25 Oz"
64263,"Fritos Corn Chips, Spicy Jalapeno, 9.25 Oz",NULL,NULL,00028400634830,Fritos Spicy Jalapeno Corn Chips 9.25 Ounce Plastic Bag,B06WW16X1P,57313,"Fritos Corn Chips, Spicy Jalapeno, 9.25 Ounce",64263,"Fritos Corn Chips, Spicy Jalapeno, 9.25 Oz"
64263,"Fritos Corn Chips, Spicy Jalapeno, 9.25 Oz",NULL,NULL,00028400634830,Fritos Spicy Jalapeno Corn Chips 9.25 Ounce Plastic Bag,B06XFSF4TB,57431,"Fritos Spicy Jalape̱o Flavored Corn Chips, 9.25 Ounce",64263,"Fritos Corn Chips, Spicy Jalapeno, 9.25 Oz"
