UPCMasterId,UPC,UPCName,BrandCategory,Proc_UPCName,Proc_UPCName1,Proc_UPCName2,IsUPCFuzzy,IsUPCFuzzyOld,IsUPCFuzzyNew,IsUPCNew,LastUpdatedUserId,Created
169,,Annie's Homegrown Creamy Deluxe Elbows & Creamy Mild Cheddar Organic 9.5 OZ BOX,,Annie's Homegrown Creamy Deluxe Elbows & Creamy Mild Cheddar Organic 9.5 OZ BOX,Annie's Homegrown Creamy Deluxe Elbows & Creamy Mild Cheddar Organic 9.5 OZ BOX,Annie's Homegrown Creamy Deluxe Elbows & Creamy Mild Cheddar Organic 9.5 OZ BOX,1,1,0,FALSE,AdminMtch421,29:46.5
170,,Annie's Homegrown Creamy Deluxe Rice Pasta & Cheddar Gluten Free 11 OZ BOX,,Annie's Homegrown Creamy Deluxe Rice Pasta & Cheddar Gluten Free 11 OZ BOX,Annie's Homegrown Creamy Deluxe Rice Pasta & Cheddar Gluten Free 11 OZ BOX,Annie's Homegrown Creamy Deluxe Rice Pasta & Cheddar Gluten Free 11 OZ BOX,1,1,0,FALSE,AdminMtch421,29:46.5
171,,Annie's Homegrown Creamy Deluxe Rotini & White Cheddar Cheese 9.3 OZ BOX,,Annie's Homegrown Creamy Deluxe Rotini & White Cheddar Cheese 9.3 OZ BOX,Annie's Homegrown Creamy Deluxe Rotini & White Cheddar Cheese 9.3 OZ BOX,Annie's Homegrown Creamy Deluxe Rotini & White Cheddar Cheese 9.3 OZ BOX,1,1,0,FALSE,AdminMtch421,29:46.5
172,,Annie's Homegrown Creamy Deluxe Shells & Cheddar Sauce Real Aged Natural 10 OZ BOX,,Annie's Homegrown Creamy Deluxe Shells & Cheddar Sauce Real Aged Natural 10 OZ BOX,Annie's Homegrown Creamy Deluxe Shells & Cheddar Sauce Real Aged Natural 10 OZ BOX,Annie's Homegrown Creamy Deluxe Shells & Cheddar Sauce Real Aged Natural 10 OZ BOX,1,1,0,FALSE,AdminMtch421,29:46.5
173,,Annie's Homegrown Creamy Deluxe Shells & Cheddar Sauce Real Aged Natural 10 OZ BOX,,Annie's Homegrown Creamy Deluxe Shells & Cheddar Sauce Real Aged Natural 10 OZ BOX,Annie's Homegrown Creamy Deluxe Shells & Cheddar Sauce Real Aged Natural 10 OZ BOX,Annie's Homegrown Creamy Deluxe Shells & Cheddar Sauce Real Aged Natural 10 OZ BOX,1,1,0,FALSE,AdminMtch421,29:46.5
1200,81829001315,Chob Smp100 Peach,,CHOBANI SIMPLY 100 PEACH YOGURT RFG 1 CT 5.3 OZ ,Chob Smp100 Peach,Chob Smp100 Peach,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1201,81829001333,Chob Smp100 Pineapple,,CHOBANI SIMPLY 100 PINEAPPLE YOGURT RFG 1 CT 5.3 OZ ,Chob Smp100 Pineapple,Chob Smp100 Pineapple,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
1215,1820799002,Cicero Beverage Co. Chicago Style Sour Cherry Soda 12 OZ BTL,,CICERO BEVERAGE CO SODA SOUR CHERRY GLASS BOTTLE 1 CT 12 OZ ,Cicero Beverage Co. Chicago Style Sour Cherry Soda 12 OZ BTL,Cicero Beverage Co. Chicago Style Sour Cherry Soda 12 OZ BTL,0,0,1,FALSE,FirstIRIMtch,29:46.5
1220,7582281003,Classique Fare Belgian Waffle Mix 16 OZ BOX,,CLASSIQUE FARE BELGIAN WAFFLE MIX CARDBOARD BOX SHELF STABLE 16 OZ ,Classique Fare Belgian Waffle Mix 16 OZ BOX,Classique Fare Belgian Waffle Mix 16 OZ BOX,0,0,1,FALSE,FirstIRIMtch,29:46.5
1221,68826704779,Clear Splash Acai Blueberry Sparkling Water Beverage 1 LTR BTL,,PRIVATE LABEL ACAI BLUEBERRY SPARKLING WATER PLASTIC BOTTLE 1 CT 33.8 OZ ,Clear Splash Acai Blueberry Sparkling Water Beverage 1 LTR BTL,Clear Splash Acai Blueberry Sparkling Water Beverage 1 LTR BTL,0,0,1,FALSE,ElvnDgtIRIMtch,29:46.5
