,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,lat_dist,lon_dist,lat_miles,lon_miles,totaldistance,Speed,date,Time_day,age,weight,calories_burned
18,772.0,2015-12-17 07:47:12.000,12/17/2015 08:00:05,329.0,Greenwich St & N Moore St,40.72043411,-74.01020609,212.0,W 16 St & The High Line,40.74334935,-74.00681753,19664,Subscriber,1985,2,-0.022915240000003227,-0.003388559999990548,-2.5488583236165896,-0.2887275030197449,2.5651593176388845,11.961882828367855,2015-12-17,7,20-39,167.6,130.6941414141414
19,1074.0,2017-06-15 15:56:39.000,2017-06-15 16:14:34,363.0,West Thames St,40.70834698,-74.01713445,345.0,W 13 St & 6 Ave,40.73649403,-73.99704374,26391,Subscriber,1965,2,-0.028147050000001173,-0.02009071000000517,-3.1307916774053086,-1.7118600621536857,3.5682378563805366,11.960573820269953,2017-06-15,15,40-59,176.4,191.36727272727268
20,306.0,2014-09-19 07:46:28.000,9/19/2014 07:51:34,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,536.0,1 Ave & E 30 St,40.74144387,-73.97536082,18819,Subscriber,1990,1,-0.009225340000000415,-0.0062947499999950205,-1.026133029686393,-0.5363539230933407,1.1578534127561195,13.621804855954347,2014-09-19,7,20-39,196.9,60.86000000000001
21,1325.0,2018-12-05 07:30:59.133,2018-12-05 07:53:04.3770,514.0,12 Ave & W 40 St,40.76087502,-74.00277668,2003.0,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,33815,Subscriber,1980,1,0.027062828033677988,-0.02223247051969679,3.010193848907313,-1.8943520844045996,3.5566609098545614,9.663380585265225,2018-12-05,7,20-39,196.9,263.52777777777777
22,700.0,2018-09-30 13:34:53.425,2018-09-30 13:46:33.5350,426.0,West St & Chambers St,40.71754834,-74.01322069,377.0,6 Ave & Canal St,40.72243797,-74.00566443,32767,Customer,1969,0,-0.004889630000000977,-0.0075562600000012034,-0.5438727294545518,-0.6438428364775628,0.8428114521812204,4.334458896931991,2018-09-30,13,40-59,188.65,133.38888888888889
23,643.0,2016-01-11 17:57:54.000,1/11/2016 18:08:37,434.0,9 Ave & W 18 St,40.74317449,-74.00366443,523.0,W 38 St & 8 Ave,40.75466591,-73.99138152,21434,Subscriber,1980,1,-0.011491419999998698,-0.01228290999999615,-1.2781887301711312,-1.0465843703889073,1.6520003856775682,9.249146793840195,2016-01-11,17,20-39,196.9,127.88555555555556
24,670.0,2016-11-02 19:41:17.000,2016-11-02 19:52:28,3260.0,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,386.0,Centre St & Worth St,40.71494807,-74.00234482,25937,Subscriber,1991,1,0.012115563483064308,0.00572344968446714,1.3476121057038597,0.4876753948756858,1.4331384016230766,7.700445143049366,2016-11-02,19,20-39,196.9,133.25555555555556
25,609.0,2019-03-22 18:22:18.942,2019-03-22 18:32:28.5580,150.0,E 2 St & Avenue C,40.720873600000004,-73.98085795,403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,36979,Subscriber,1994,1,-0.004155160000003377,0.009838610000002744,-0.4621777538426754,0.8383140031440519,0.9572766810146721,5.658778409938947,2019-03-22,18,20-39,196.9,121.12333333333332
26,540.0,2018-07-02 16:15:07.985,2018-07-02 16:24:07.9890,494.0,W 26 St & 8 Ave,40.74734825,-73.99723551,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,21115,Subscriber,1986,1,0.008222240000002046,-0.01749774999998976,0.9145583839739638,-1.4909228893615216,1.7490763561717868,11.660509041145248,2018-07-02,16,20-39,196.9,107.4
27,904.0,2016-10-07 16:20:56.000,2016-10-07 16:36:00,3141.0,1 Ave & E 68 St,40.76500525,-73.95818491,3147.0,E 85 St & 3 Ave,40.77801203,-73.95407149,15182,Subscriber,1976,1,-0.013006779999997777,-0.0041134199999959264,-1.446741970253833,-0.3504903219873975,1.4885918830561895,5.928020773232614,2016-10-07,16,40-59,200.9,183.44808080808082
